# 260612_13:19:19.221644
t	CH1	CH2
0.000000e+00	-1.767636e-03	-7.264182e-01
1.000000e-08	-7.319170e-05	-8.526880e-01
2.000000e-08	-3.431894e-03	-1.001503e+00
3.000000e-08	3.507235e-03	-1.157940e+00
4.000000e-08	4.688120e-02	-1.303287e+00
5.000000e-08	5.583448e-02	-1.537514e+00
6.000000e-08	-4.904194e-02	-1.792124e+00
7.000000e-08	-3.193845e-02	-2.030075e+00
8.000000e-08	-1.201171e-01	-2.137415e+00
9.000000e-08	1.031743e-01	-2.127915e+00
1.000000e-07	5.465530e-02	-2.293909e+00
1.100000e-07	-1.647568e-01	-2.577974e+00
1.200000e-07	1.047862e-01	-2.684733e+00
1.300000e-07	4.744371e-02	-2.716845e+00
1.400000e-07	-1.299239e-01	-3.001751e+00
1.500000e-07	1.318035e-01	-3.199496e+00
1.600000e-07	1.296900e-02	-3.284338e+00
1.700000e-07	-1.689601e-01	-3.484808e+00
1.800000e-07	1.218487e-01	-3.568499e+00
1.900000e-07	9.467501e-03	-3.739472e+00
2.000000e-07	-2.147289e-02	-3.969095e+00
2.100000e-07	7.002873e-02	-4.062633e+00
2.200000e-07	-1.237707e-01	-4.271730e+00
2.300000e-07	6.917242e-02	-4.388522e+00
2.400000e-07	6.837229e-02	-4.413183e+00
2.500000e-07	-1.094980e-01	-4.682780e+00
2.600000e-07	5.309916e-02	-4.790475e+00
2.700000e-07	-2.145561e-02	-4.957970e+00
2.800000e-07	2.495925e-02	-5.093863e+00
2.900000e-07	4.028476e-02	-5.240080e+00
3.000000e-07	-6.167485e-02	-5.462233e+00
3.100000e-07	2.381997e-02	-5.579500e+00
3.200000e-07	-4.113708e-02	-5.674364e+00
3.300000e-07	6.941228e-02	-5.862280e+00
3.400000e-07	1.780168e-02	-5.978443e+00
3.500000e-07	-6.836912e-02	-6.063157e+00
3.600000e-07	5.193235e-02	-6.168373e+00
3.700000e-07	-1.989676e-02	-6.378495e+00
3.800000e-07	4.300568e-02	-6.473757e+00
3.900000e-07	-1.830010e-02	-6.557969e+00
4.000000e-07	-4.764501e-02	-6.686309e+00
4.100000e-07	5.212039e-02	-6.769575e+00
4.200000e-07	-2.531487e-03	-6.924336e+00
4.300000e-07	3.604957e-02	-7.014226e+00
4.400000e-07	-2.694540e-02	-7.176999e+00
4.500000e-07	-1.181889e-02	-7.272132e+00
4.600000e-07	3.562039e-02	-7.357444e+00
4.700000e-07	-2.335564e-03	-7.432131e+00
4.800000e-07	1.763659e-02	-7.536863e+00
4.900000e-07	-3.434455e-02	-7.613650e+00
5.000000e-07	1.944388e-02	-7.786386e+00
5.100000e-07	2.803755e-02	-7.903333e+00
5.200000e-07	6.012497e-03	-7.998500e+00
5.300000e-07	2.972483e-03	-8.032576e+00
5.400000e-07	-1.941946e-02	-8.126813e+00
5.500000e-07	2.895739e-02	-8.209972e+00
5.600000e-07	1.476875e-02	-8.261758e+00
5.700000e-07	7.454374e-03	-8.356368e+00
5.800000e-07	-1.025181e-02	-8.389895e+00
5.900000e-07	-9.622674e-05	-8.420527e+00
6.000000e-07	3.258956e-02	-8.422103e+00
6.100000e-07	1.021045e-02	-8.526836e+00
6.200000e-07	3.117169e-03	-8.620622e+00
6.300000e-07	-7.201280e-03	-8.723357e+00
6.400000e-07	2.068356e-02	-8.747897e+00
6.500000e-07	2.604734e-02	-8.779998e+00
6.600000e-07	7.552010e-03	-8.821550e+00
6.700000e-07	-2.121391e-03	-8.852154e+00
6.800000e-07	3.940699e-03	-8.884734e+00
6.900000e-07	2.513429e-02	-8.913286e+00
