# Temperatura_=_20.0
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_301107.43129850586

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-6.260974e-06	-1.035982e-08	-4.376175e+01	-6.775988e+02
1.000000e-08	-6.257671e-06	-1.035948e-08	-4.373867e+01	-6.775108e+02
2.000000e-08	-6.252308e-06	-1.035544e-08	-4.370118e+01	-6.773940e+02
3.000000e-08	-6.245049e-06	-1.035218e-08	-4.365044e+01	-6.771410e+02
4.000000e-08	-6.235821e-06	-1.034442e-08	-4.358594e+01	-6.766568e+02
5.000000e-08	-6.224348e-06	-1.033167e-08	-4.350575e+01	-6.759267e+02
6.000000e-08	-6.210514e-06	-1.031486e-08	-4.340906e+01	-6.750331e+02
7.000000e-08	-6.194250e-06	-1.028233e-08	-4.329538e+01	-6.741080e+02
8.000000e-08	-6.175660e-06	-1.029176e-08	-4.316544e+01	-6.732485e+02
9.000000e-08	-6.154926e-06	-1.034063e-08	-4.302052e+01	-6.724544e+02
1.000000e-07	-6.131874e-06	-1.030041e-08	-4.285939e+01	-6.716299e+02
1.100000e-07	-6.106383e-06	-1.025713e-08	-4.268122e+01	-6.706530e+02
1.200000e-07	-6.078646e-06	-1.025963e-08	-4.248735e+01	-6.694649e+02
1.300000e-07	-6.049287e-06	-1.014725e-08	-4.228214e+01	-6.681202e+02
1.400000e-07	-6.018454e-06	-1.015432e-08	-4.206663e+01	-6.667615e+02
1.500000e-07	-5.985636e-06	-1.025647e-08	-4.183725e+01	-6.655311e+02
1.600000e-07	-5.950584e-06	-1.007115e-08	-4.159225e+01	-6.644756e+02
1.700000e-07	-5.913585e-06	-1.010870e-08	-4.133364e+01	-6.635029e+02
1.800000e-07	-5.874599e-06	-1.017215e-08	-4.106114e+01	-6.624188e+02
1.900000e-07	-5.833621e-06	-1.002598e-08	-4.077472e+01	-6.610212e+02
2.000000e-07	-5.790477e-06	-1.010448e-08	-4.047317e+01	-6.591969e+02
2.100000e-07	-5.745022e-06	-1.002211e-08	-4.015545e+01	-6.569661e+02
2.200000e-07	-5.697596e-06	-9.912246e-09	-3.982396e+01	-6.544568e+02
2.300000e-07	-5.647831e-06	-9.946094e-09	-3.947612e+01	-6.518302e+02
2.400000e-07	-5.595519e-06	-9.901185e-09	-3.911048e+01	-6.492045e+02
2.500000e-07	-5.541000e-06	-9.878099e-09	-3.872942e+01	-6.466159e+02
2.600000e-07	-5.484463e-06	-9.809480e-09	-3.833425e+01	-6.440296e+02
2.700000e-07	-5.425903e-06	-9.762739e-09	-3.792493e+01	-6.413802e+02
2.800000e-07	-5.365378e-06	-9.752554e-09	-3.750189e+01	-6.386122e+02
2.900000e-07	-5.303028e-06	-9.707942e-09	-3.706609e+01	-6.356972e+02
3.000000e-07	-5.238827e-06	-9.664376e-09	-3.661735e+01	-6.326269e+02
3.100000e-07	-5.172574e-06	-9.559625e-09	-3.615426e+01	-6.293966e+02
3.200000e-07	-5.104279e-06	-9.539124e-09	-3.567691e+01	-6.259966e+02
3.300000e-07	-5.034185e-06	-9.512515e-09	-3.518698e+01	-6.224163e+02
3.400000e-07	-4.962451e-06	-9.432984e-09	-3.468558e+01	-6.186562e+02
3.500000e-07	-4.888977e-06	-9.384809e-09	-3.417203e+01	-6.147338e+02
3.600000e-07	-4.813438e-06	-9.295774e-09	-3.364404e+01	-6.106764e+02
3.700000e-07	-4.735906e-06	-9.261565e-09	-3.310213e+01	-6.065054e+02
3.800000e-07	-4.656460e-06	-9.213490e-09	-3.254683e+01	-6.022224e+02
3.900000e-07	-4.575075e-06	-9.121982e-09	-3.197798e+01	-5.978074e+02
4.000000e-07	-4.492098e-06	-9.032105e-09	-3.139800e+01	-5.932310e+02
4.100000e-07	-4.407778e-06	-8.951414e-09	-3.080864e+01	-5.884713e+02
4.200000e-07	-4.322113e-06	-8.912455e-09	-3.020987e+01	-5.835240e+02
4.300000e-07	-4.235072e-06	-8.834126e-09	-2.960149e+01	-5.783987e+02
4.400000e-07	-4.146541e-06	-8.747107e-09	-2.898270e+01	-5.731035e+02
4.500000e-07	-4.056411e-06	-8.654655e-09	-2.835272e+01	-5.676297e+02
4.600000e-07	-3.964719e-06	-8.583423e-09	-2.771183e+01	-5.619482e+02
4.700000e-07	-3.871709e-06	-8.509165e-09	-2.706173e+01	-5.560221e+02
4.800000e-07	-3.777411e-06	-8.393500e-09	-2.640262e+01	-5.498285e+02
4.900000e-07	-3.681662e-06	-8.279688e-09	-2.573337e+01	-5.433751e+02
5.000000e-07	-3.584555e-06	-8.175068e-09	-2.505463e+01	-5.366988e+02
5.100000e-07	-3.486135e-06	-8.096353e-09	-2.436672e+01	-5.298439e+02
5.200000e-07	-3.386376e-06	-7.998692e-09	-2.366944e+01	-5.228304e+02
5.300000e-07	-3.285373e-06	-7.878498e-09	-2.296347e+01	-5.156319e+02
5.400000e-07	-3.183250e-06	-7.749371e-09	-2.224967e+01	-5.081801e+02
5.500000e-07	-3.080046e-06	-7.633712e-09	-2.152831e+01	-5.003952e+02
5.600000e-07	-2.975745e-06	-7.519952e-09	-2.079929e+01	-4.922286e+02
5.700000e-07	-2.870423e-06	-7.381327e-09	-2.006313e+01	-4.836915e+02
5.800000e-07	-2.764057e-06	-7.235111e-09	-1.931967e+01	-4.748509e+02
5.900000e-07	-2.656482e-06	-7.100552e-09	-1.856777e+01	-4.657910e+02
6.000000e-07	-2.547905e-06	-6.980708e-09	-1.780885e+01	-4.565612e+02
6.100000e-07	-2.438582e-06	-6.842794e-09	-1.704473e+01	-4.471406e+02
6.200000e-07	-2.328439e-06	-6.681701e-09	-1.627488e+01	-4.374413e+02
6.300000e-07	-2.217493e-06	-6.510798e-09	-1.549941e+01	-4.273494e+02
6.400000e-07	-2.105776e-06	-6.353120e-09	-1.471855e+01	-4.167815e+02
6.500000e-07	-1.993284e-06	-6.198472e-09	-1.393227e+01	-4.057235e+02
6.600000e-07	-1.880032e-06	-6.021733e-09	-1.314069e+01	-3.942291e+02
6.700000e-07	-1.766001e-06	-5.829473e-09	-1.234366e+01	-3.823821e+02
6.800000e-07	-1.651223e-06	-5.641287e-09	-1.154140e+01	-3.702451e+02
6.900000e-07	-1.535678e-06	-5.463655e-09	-1.073379e+01	-3.578245e+02
7.000000e-07	-1.419400e-06	-5.273504e-09	-9.921048e+00	-3.450698e+02
7.100000e-07	-1.302551e-06	-5.060921e-09	-9.104322e+00	-3.319007e+02
7.200000e-07	-1.185269e-06	-4.839413e-09	-8.284568e+00	-3.182415e+02
7.300000e-07	-1.067627e-06	-4.626438e-09	-7.462295e+00	-3.040429e+02
7.400000e-07	-9.496142e-07	-4.410284e-09	-6.637431e+00	-2.892814e+02
7.500000e-07	-8.312552e-07	-4.177286e-09	-5.810148e+00	-2.739479e+02
7.600000e-07	-7.126058e-07	-3.925534e-09	-4.980835e+00	-2.580373e+02
7.700000e-07	-5.937375e-07	-3.667075e-09	-4.149992e+00	-2.415473e+02
7.800000e-07	-4.747047e-07	-3.413291e-09	-3.318000e+00	-2.244819e+02
7.900000e-07	-3.555306e-07	-3.150731e-09	-2.485019e+00	-2.068474e+02
8.000000e-07	-2.362286e-07	-2.868757e-09	-1.651145e+00	-1.886362e+02
8.100000e-07	-1.168394e-07	-2.571140e-09	-8.166615e-01	-1.698079e+02
8.200000e-07	2.574188e-09	-2.271292e-09	1.799256e-02	-1.502834e+02
8.300000e-07	1.219790e-07	-1.968930e-09	8.525855e-01	-1.299646e+02
