# Configuracion:
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_301270.4144662169
# 
Resultados:
# tau_ns_=_(3.57+/-0.13)e+01
# dphi_rad_=_6.35+/-0.00
# SAR_W/g_=_319.53+/-10.69
# Hc_kA/m_=_5.55+/-0.13
# Mr_A/m_=_150.67+/-2.18
# Magnetizacion_max_emu/g_=_71.0+/-0.4
# Suceptibilidad_a_M=0_=_(3.053+/-0.028)e-02

Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
300kHz_130dA_100Mss_bobN1FR0010.txt		20.00	155.17	5.76	49608.90	705.59	3.012696e+05	5.369682e+01	6.355926e+00	343.24	38.497689	4647	3.027e-02
300kHz_130dA_100Mss_bobN1FR0011.txt		20.00	153.83	5.75	49608.90	706.43	3.012696e+05	5.363790e+01	6.354267e+00	335.06	37.616494	4647	3.028e-02
300kHz_130dA_100Mss_bobN1FR0012.txt		20.00	154.05	5.71	49608.90	706.62	3.012696e+05	5.373801e+01	6.353840e+00	333.67	37.389707	4647	3.050e-02
300kHz_130dA_100Mss_bobN1FR0013.txt		20.00	153.45	5.71	49608.90	708.52	3.012696e+05	5.377348e+01	6.353143e+00	330.60	37.019605	4647	3.026e-02
300kHz_130dA_100Mss_bobN1FR0014.txt		20.00	154.47	5.68	49608.90	708.22	3.012696e+05	5.388287e+01	6.353428e+00	332.62	37.170917	4647	3.058e-02
300kHz_130dA_100Mss_bobN1FR0015.txt		20.00	151.41	5.68	49608.90	706.92	3.012696e+05	5.360701e+01	6.351828e+00	323.40	36.321866	4647	3.011e-02
300kHz_130dA_100Mss_bobN1FR0016.txt		20.00	152.63	5.67	49608.90	707.22	3.012696e+05	5.373550e+01	6.353028e+00	329.83	36.958470	4647	3.037e-02
300kHz_130dA_100Mss_bobN1FR0017.txt		20.00	152.24	5.64	49608.90	708.33	3.012696e+05	5.385562e+01	6.352412e+00	327.66	36.631469	4647	3.040e-02
300kHz_130dA_100Mss_bobN1FR0018.txt		20.00	152.23	5.63	49608.90	705.33	3.012696e+05	5.364072e+01	6.351951e+00	324.18	36.386680	4647	3.042e-02
300kHz_130dA_100Mss_bobN1FR0019.txt		20.00	152.40	5.64	49608.90	706.76	3.012696e+05	5.373919e+01	6.352953e+00	329.49	36.918196	4647	3.031e-02
300kHz_130dA_100Mss_bobN1FR0020.txt		20.00	151.87	5.60	49608.90	709.74	3.012696e+05	5.394696e+01	6.351686e+00	324.77	36.245888	4647	3.037e-02
300kHz_130dA_100Mss_bobN1FR0021.txt		20.00	152.22	5.63	49608.90	709.67	3.012696e+05	5.388903e+01	6.352605e+00	328.77	36.733731	4647	3.027e-02
300kHz_130dA_100Mss_bobN1FR0022.txt		20.00	150.14	5.52	49608.90	710.59	3.012696e+05	5.399115e+01	6.349462e+00	314.50	35.065598	4647	3.070e-02
300kHz_130dA_100Mss_bobN1FR0023.txt		20.00	150.56	5.59	49608.90	704.47	3.012696e+05	5.353605e+01	6.351283e+00	320.41	36.032356	4647	3.019e-02
300kHz_130dA_100Mss_bobN1FR0024.txt		20.00	150.88	5.61	49608.90	704.32	3.012696e+05	5.350369e+01	6.351897e+00	323.10	36.358106	4647	3.039e-02
300kHz_130dA_100Mss_bobN1FR0025.txt		20.00	150.64	5.54	49608.90	708.10	3.012696e+05	5.383195e+01	6.350865e+00	320.20	35.809781	4647	3.051e-02
300kHz_130dA_100Mss_bobN1FR0026.txt		20.00	150.79	5.55	49608.90	707.76	3.012696e+05	5.379344e+01	6.351234e+00	321.72	36.005664	4647	3.047e-02
300kHz_130dA_100Mss_bobN1FR0027.txt		20.00	149.53	5.49	49608.90	711.31	3.012696e+05	5.401728e+01	6.349400e+00	314.36	35.032336	4647	3.062e-02
300kHz_130dA_100Mss_bobN1FR0028.txt		20.00	150.22	5.57	49608.90	706.65	3.012696e+05	5.368179e+01	6.351409e+00	321.87	36.098749	4647	3.030e-02
300kHz_130dA_100Mss_bobN1FR0029.txt		20.00	150.35	5.52	49608.90	711.09	3.012696e+05	5.402014e+01	6.350292e+00	318.61	35.505916	4647	3.059e-02
