# Configuracion:
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_301552.3025349809
# 
Resultados:
# tau_s_=_(-1.11+/-0.05)e+01
# dphi_rad_=_6.26+/-0.00
# SAR_W/g_=_-45.83+/-2.25
# Hc_kA/m_=_1.19+/-0.06
# Mr_A/m_=_6.65+/-0.33
# Suceptibilidad_a_M=0_=_0.0056+/-0.0000
Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
300kHz_150dA_100Mss_bobN1Pmag0012.txt		20.00	5.80	1.03	57041.50	322.66	3.015292e+05	2.168920e+01	6.264939e+00	-40.05	-9.631161	4643	5.626e-03
300kHz_150dA_100Mss_bobN1Pmag0013.txt		20.00	7.11	1.26	57041.50	324.59	3.015292e+05	2.181855e+01	6.261011e+00	-48.97	-11.705340	4643	5.661e-03
300kHz_150dA_100Mss_bobN1Pmag0014.txt		20.00	7.34	1.28	57041.50	327.88	3.015292e+05	2.203978e+01	6.260539e+00	-50.52	-11.954384	4643	5.720e-03
300kHz_150dA_100Mss_bobN1Pmag0015.txt		20.00	6.80	1.21	57041.50	321.74	3.015292e+05	2.162718e+01	6.261768e+00	-46.88	-11.305298	4643	5.614e-03
300kHz_150dA_100Mss_bobN1Pmag0016.txt		20.00	6.72	1.20	57041.50	321.75	3.015292e+05	2.162800e+01	6.262052e+00	-46.26	-11.155629	4643	5.609e-03
300kHz_150dA_100Mss_bobN1Pmag0017.txt		20.00	6.66	1.19	57041.50	320.42	3.015292e+05	2.153786e+01	6.262167e+00	-45.82	-11.094828	4643	5.588e-03
300kHz_150dA_100Mss_bobN1Pmag0018.txt		20.00	6.89	1.24	57041.50	318.18	3.015292e+05	2.138763e+01	6.261319e+00	-47.33	-11.542649	4643	5.551e-03
300kHz_150dA_100Mss_bobN1Pmag0019.txt		20.00	6.32	1.14	57041.50	317.98	3.015292e+05	2.137455e+01	6.263016e+00	-43.63	-10.646659	4643	5.545e-03
300kHz_150dA_100Mss_bobN1Pmag0020.txt		20.00	6.99	1.25	57041.50	319.78	3.015292e+05	2.149567e+01	6.261083e+00	-48.09	-11.667175	4643	5.577e-03
300kHz_150dA_100Mss_bobN1Pmag0021.txt		20.00	6.80	1.22	57041.50	320.02	3.015292e+05	2.151172e+01	6.261688e+00	-46.81	-11.347869	4643	5.582e-03
300kHz_150dA_100Mss_bobN1Pmag0022.txt		20.00	6.29	1.13	57041.50	319.40	3.015292e+05	2.146984e+01	6.263260e+00	-43.30	-10.517835	4643	5.571e-03
300kHz_150dA_100Mss_bobN1Pmag0023.txt		20.00	6.88	1.23	57041.50	319.82	3.015292e+05	2.149839e+01	6.261407e+00	-47.39	-11.495949	4643	5.578e-03
300kHz_150dA_100Mss_bobN1Pmag0024.txt		20.00	6.52	1.17	57041.50	320.55	3.015292e+05	2.154676e+01	6.262535e+00	-45.03	-10.900314	4643	5.590e-03
300kHz_150dA_100Mss_bobN1Pmag0025.txt		20.00	6.94	1.22	57041.50	326.47	3.015292e+05	2.194532e+01	6.261679e+00	-47.77	-11.352400	4643	5.695e-03
300kHz_150dA_100Mss_bobN1Pmag0026.txt		20.00	6.70	1.20	57041.50	321.23	3.015292e+05	2.159297e+01	6.262045e+00	-46.20	-11.158934	4643	5.602e-03
300kHz_150dA_100Mss_bobN1Pmag0027.txt		20.00	6.53	1.19	57041.50	314.51	3.015292e+05	2.114125e+01	6.262172e+00	-44.96	-11.092384	4643	5.485e-03
300kHz_150dA_100Mss_bobN1Pmag0028.txt		20.00	6.37	1.14	57041.50	320.12	3.015292e+05	2.151856e+01	6.262994e+00	-43.97	-10.657981	4643	5.585e-03
300kHz_150dA_100Mss_bobN1Pmag0029.txt		20.00	6.98	1.24	57041.50	322.08	3.015292e+05	2.165002e+01	6.261257e+00	-48.05	-11.575651	4643	5.616e-03
300kHz_150dA_100Mss_bobN1Pmag0030.txt		20.00	6.87	1.23	57041.50	320.09	3.015292e+05	2.151629e+01	6.261473e+00	-47.28	-11.461282	4643	5.584e-03
300kHz_150dA_100Mss_bobN1Pmag0031.txt		20.00	5.89	1.05	57041.50	322.87	3.015292e+05	2.170384e+01	6.264663e+00	-40.69	-9.776904	4643	5.631e-03
300kHz_150dA_100Mss_bobN1Pmag0032.txt		20.00	6.65	1.19	57041.50	320.28	3.015292e+05	2.152871e+01	6.262169e+00	-45.79	-11.093598	4643	5.585e-03
