# Temperatura_=_20.0
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_65563218390.804596
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_300844.08242860646
# Promedio de 29 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-3.836452e-09	-2.188035e-09	-2.720468e+01	-1.436492e+02
1.000000e-08	-3.834994e-09	-2.187760e-09	-2.719435e+01	-1.435542e+02
2.000000e-08	-3.832002e-09	-2.187875e-09	-2.717313e+01	-1.434077e+02
3.000000e-08	-3.827732e-09	-2.188099e-09	-2.714285e+01	-1.432099e+02
4.000000e-08	-3.822388e-09	-2.186399e-09	-2.710496e+01	-1.429609e+02
5.000000e-08	-3.815834e-09	-2.180491e-09	-2.705848e+01	-1.426606e+02
6.000000e-08	-3.808127e-09	-2.170261e-09	-2.700383e+01	-1.423093e+02
7.000000e-08	-3.799287e-09	-2.156290e-09	-2.694115e+01	-1.419070e+02
8.000000e-08	-3.788856e-09	-2.151673e-09	-2.686718e+01	-1.414540e+02
9.000000e-08	-3.776509e-09	-2.161549e-09	-2.677963e+01	-1.409502e+02
1.000000e-07	-3.762197e-09	-2.157753e-09	-2.667814e+01	-1.403960e+02
1.100000e-07	-3.745943e-09	-2.138072e-09	-2.656288e+01	-1.397915e+02
1.200000e-07	-3.728404e-09	-2.095432e-09	-2.643851e+01	-1.391370e+02
1.300000e-07	-3.710147e-09	-2.099188e-09	-2.630905e+01	-1.384327e+02
1.400000e-07	-3.690931e-09	-2.144502e-09	-2.617279e+01	-1.376787e+02
1.500000e-07	-3.670694e-09	-2.085756e-09	-2.602929e+01	-1.368755e+02
1.600000e-07	-3.649514e-09	-2.035465e-09	-2.587910e+01	-1.360233e+02
1.700000e-07	-3.626961e-09	-2.071188e-09	-2.571917e+01	-1.351224e+02
1.800000e-07	-3.603052e-09	-2.044471e-09	-2.554963e+01	-1.341731e+02
1.900000e-07	-3.578260e-09	-2.008894e-09	-2.537383e+01	-1.331757e+02
2.000000e-07	-3.552171e-09	-2.037748e-09	-2.518883e+01	-1.321306e+02
2.100000e-07	-3.524361e-09	-2.005757e-09	-2.499163e+01	-1.310383e+02
2.200000e-07	-3.495225e-09	-1.964951e-09	-2.478502e+01	-1.298990e+02
2.300000e-07	-3.464993e-09	-1.975323e-09	-2.457065e+01	-1.287132e+02
2.400000e-07	-3.433633e-09	-1.951074e-09	-2.434827e+01	-1.274813e+02
2.500000e-07	-3.401103e-09	-1.934152e-09	-2.411760e+01	-1.262037e+02
2.600000e-07	-3.367106e-09	-1.907087e-09	-2.387652e+01	-1.248809e+02
2.700000e-07	-3.331725e-09	-1.856888e-09	-2.362563e+01	-1.235135e+02
2.800000e-07	-3.295348e-09	-1.872533e-09	-2.336768e+01	-1.221017e+02
2.900000e-07	-3.257853e-09	-1.858573e-09	-2.310180e+01	-1.206463e+02
3.000000e-07	-3.219114e-09	-1.789935e-09	-2.282710e+01	-1.191476e+02
3.100000e-07	-3.179297e-09	-1.794216e-09	-2.254475e+01	-1.176063e+02
3.200000e-07	-3.138507e-09	-1.783395e-09	-2.225551e+01	-1.160228e+02
3.300000e-07	-3.096558e-09	-1.732806e-09	-2.195804e+01	-1.143978e+02
3.400000e-07	-3.053280e-09	-1.733156e-09	-2.165115e+01	-1.127318e+02
3.500000e-07	-3.008762e-09	-1.711279e-09	-2.133547e+01	-1.110254e+02
3.600000e-07	-2.963158e-09	-1.650887e-09	-2.101209e+01	-1.092792e+02
3.700000e-07	-2.916570e-09	-1.634531e-09	-2.068173e+01	-1.074939e+02
3.800000e-07	-2.869025e-09	-1.624865e-09	-2.034458e+01	-1.056701e+02
3.900000e-07	-2.820393e-09	-1.575112e-09	-1.999973e+01	-1.038084e+02
4.000000e-07	-2.770385e-09	-1.538202e-09	-1.964512e+01	-1.019095e+02
4.100000e-07	-2.719023e-09	-1.518201e-09	-1.928091e+01	-9.997413e+01
4.200000e-07	-2.666624e-09	-1.493957e-09	-1.890934e+01	-9.800291e+01
4.300000e-07	-2.613230e-09	-1.472485e-09	-1.853072e+01	-9.599657e+01
4.400000e-07	-2.558787e-09	-1.440472e-09	-1.814466e+01	-9.395583e+01
4.500000e-07	-2.503447e-09	-1.397558e-09	-1.775224e+01	-9.188142e+01
4.600000e-07	-2.447456e-09	-1.366516e-09	-1.735520e+01	-8.977407e+01
4.700000e-07	-2.390788e-09	-1.336442e-09	-1.695336e+01	-8.763454e+01
4.800000e-07	-2.333051e-09	-1.299040e-09	-1.654394e+01	-8.546360e+01
4.900000e-07	-2.274086e-09	-1.261782e-09	-1.612582e+01	-8.326202e+01
5.000000e-07	-2.214242e-09	-1.221298e-09	-1.570146e+01	-8.103058e+01
5.100000e-07	-2.153818e-09	-1.194005e-09	-1.527299e+01	-7.877009e+01
5.200000e-07	-2.092733e-09	-1.173342e-09	-1.483983e+01	-7.648136e+01
5.300000e-07	-2.030884e-09	-1.136027e-09	-1.440125e+01	-7.416519e+01
5.400000e-07	-1.968307e-09	-1.090282e-09	-1.395751e+01	-7.182242e+01
5.500000e-07	-1.905041e-09	-1.053636e-09	-1.350888e+01	-6.945389e+01
5.600000e-07	-1.841223e-09	-1.022018e-09	-1.305634e+01	-6.706044e+01
5.700000e-07	-1.776894e-09	-9.846785e-10	-1.260018e+01	-6.464293e+01
5.800000e-07	-1.711808e-09	-9.417651e-10	-1.213865e+01	-6.220222e+01
5.900000e-07	-1.645832e-09	-8.971960e-10	-1.167081e+01	-5.973918e+01
6.000000e-07	-1.579140e-09	-8.608455e-10	-1.119789e+01	-5.725469e+01
6.100000e-07	-1.511854e-09	-8.321438e-10	-1.072076e+01	-5.474965e+01
6.200000e-07	-1.444042e-09	-7.980562e-10	-1.023990e+01	-5.222494e+01
6.300000e-07	-1.375849e-09	-7.548716e-10	-9.756335e+00	-4.968147e+01
6.400000e-07	-1.307307e-09	-7.132757e-10	-9.270295e+00	-4.712015e+01
6.500000e-07	-1.238390e-09	-6.773334e-10	-8.781597e+00	-4.454190e+01
6.600000e-07	-1.169069e-09	-6.394033e-10	-8.290034e+00	-4.194762e+01
6.700000e-07	-1.099277e-09	-5.936007e-10	-7.795130e+00	-3.933826e+01
6.800000e-07	-1.029029e-09	-5.455256e-10	-7.296994e+00	-3.671474e+01
6.900000e-07	-9.584245e-10	-5.064539e-10	-6.796334e+00	-3.407800e+01
7.000000e-07	-8.875227e-10	-4.738362e-10	-6.293562e+00	-3.142899e+01
7.100000e-07	-8.162889e-10	-4.383239e-10	-5.788436e+00	-2.876865e+01
7.200000e-07	-7.447104e-10	-3.950590e-10	-5.280866e+00	-2.609792e+01
7.300000e-07	-6.728768e-10	-3.510130e-10	-4.771486e+00	-2.341778e+01
7.400000e-07	-6.009099e-10	-3.121029e-10	-4.261160e+00	-2.072916e+01
