# 260612_11:03:06.181341
t	CH1	CH2
0.000000e+00	-5.775348e-04	-7.546738e-01
1.000000e-08	-3.694367e-03	-8.200211e-01
2.000000e-08	-1.159530e-03	-9.352730e-01
3.000000e-08	2.366175e-02	-1.030514e+00
4.000000e-08	8.064974e-02	-1.188403e+00
5.000000e-08	-5.300853e-02	-1.472511e+00
6.000000e-08	-2.794399e-02	-1.715036e+00
7.000000e-08	-1.645977e-01	-1.800427e+00
8.000000e-08	1.700058e-01	-1.737431e+00
9.000000e-08	1.336350e-03	-1.831933e+00
1.000000e-07	-1.710464e-01	-2.083559e+00
1.100000e-07	1.088388e-01	-2.187299e+00
1.200000e-07	5.723780e-02	-2.219455e+00
1.300000e-07	-1.361880e-01	-2.472498e+00
1.400000e-07	9.035852e-02	-2.629424e+00
1.500000e-07	9.864679e-02	-2.662634e+00
1.600000e-07	-2.040152e-01	-2.788896e+00
1.700000e-07	5.517504e-02	-2.915588e+00
1.800000e-07	1.237271e-01	-3.102001e+00
1.900000e-07	-1.052398e-01	-3.262946e+00
2.000000e-07	3.827169e-02	-3.344710e+00
2.100000e-07	-1.260103e-02	-3.409946e+00
2.200000e-07	-6.828068e-02	-3.568316e+00
2.300000e-07	1.562980e-01	-3.631422e+00
2.400000e-07	-1.097003e-01	-3.777811e+00
2.500000e-07	-4.999575e-02	-3.977305e+00
2.600000e-07	1.030578e-01	-4.021569e+00
2.700000e-07	-7.872855e-02	-4.197837e+00
2.800000e-07	4.913607e-02	-4.304099e+00
2.900000e-07	1.358043e-02	-4.397407e+00
3.000000e-07	-9.404216e-02	-4.441470e+00
3.100000e-07	4.423937e-02	-4.547708e+00
3.200000e-07	2.491425e-02	-4.726124e+00
3.300000e-07	1.846884e-03	-4.798360e+00
3.400000e-07	-1.783365e-02	-4.894069e+00
3.500000e-07	-4.546697e-02	-5.009287e+00
3.600000e-07	6.324174e-02	-5.115193e+00
3.700000e-07	-1.672611e-02	-5.200860e+00
3.800000e-07	-1.816662e-02	-5.307198e+00
3.900000e-07	-7.646748e-03	-5.459420e+00
4.000000e-07	-3.520863e-02	-5.598824e+00
4.100000e-07	7.049376e-02	-5.630465e+00
4.200000e-07	-2.583713e-02	-5.743647e+00
4.300000e-07	-1.114621e-02	-5.831384e+00
4.400000e-07	-4.230484e-03	-5.934168e+00
4.500000e-07	-2.120591e-02	-6.008876e+00
4.600000e-07	4.733151e-02	-6.019457e+00
4.700000e-07	-3.383292e-02	-6.125692e+00
4.800000e-07	-1.467269e-02	-6.238375e+00
4.900000e-07	4.819532e-04	-6.335647e+00
5.000000e-07	1.074835e-02	-6.397330e+00
5.100000e-07	2.364244e-02	-6.469985e+00
5.200000e-07	-3.008985e-02	-6.494164e+00
5.300000e-07	-1.236642e-02	-6.587322e+00
5.400000e-07	4.614719e-03	-6.610428e+00
5.500000e-07	6.742971e-03	-6.684113e+00
5.600000e-07	5.648187e-03	-6.767291e+00
5.700000e-07	-2.909847e-02	-6.778399e+00
5.800000e-07	-3.443103e-03	-6.840479e+00
5.900000e-07	1.503942e-02	-6.861559e+00
6.000000e-07	4.171247e-03	-6.955090e+00
6.100000e-07	-5.511123e-03	-6.988328e+00
6.200000e-07	-2.528537e-02	-7.081039e+00
6.300000e-07	8.784732e-03	-7.135664e+00
6.400000e-07	7.845577e-03	-7.177167e+00
6.500000e-07	2.073978e-04	-7.169401e+00
6.600000e-07	-1.354833e-02	-7.210951e+00
6.700000e-07	-1.468728e-02	-7.221008e+00
6.800000e-07	1.123674e-02	-7.240533e+00
6.900000e-07	1.643260e-03	-7.293009e+00
7.000000e-07	-1.923144e-03	-7.273110e+00
7.100000e-07	-1.845545e-02	-7.325140e+00
7.200000e-07	-4.196292e-03	-7.346716e+00
7.300000e-07	1.062807e-02	-7.347742e+00
7.400000e-07	5.448436e-04	-7.377296e+00
7.500000e-07	-1.016329e-02	-7.348375e+00
7.600000e-07	-1.509448e-02	-7.369428e+00
7.700000e-07	2.487593e-03	-7.399871e+00
7.800000e-07	5.540259e-03	-7.366847e+00
7.900000e-07	-2.776726e-03	-7.398396e+00
8.000000e-07	-1.377821e-02	-7.417400e+00
8.100000e-07	-5.559446e-03	-7.368844e+00
8.200000e-07	3.938716e-03	-7.337370e+00
8.300000e-07	2.352382e-03	-7.368217e+00
8.400000e-07	-9.181939e-03	-7.386743e+00
8.500000e-07	-1.265289e-02	-7.325693e+00
8.600000e-07	-2.697421e-03	-7.324194e+00
8.700000e-07	3.233960e-03	-7.322189e+00
8.800000e-07	-1.894063e-03	-7.230510e+00
8.900000e-07	-1.247594e-02	-7.261505e+00
9.000000e-07	-7.441279e-03	-7.228978e+00
9.100000e-07	8.671195e-04	-7.178925e+00
9.200000e-07	1.700631e-03	-7.157298e+00
9.300000e-07	-5.671322e-03	-7.146169e+00
9.400000e-07	-1.082884e-02	-7.101190e+00
9.500000e-07	-3.119075e-03	-6.988506e+00
9.600000e-07	1.116078e-03	-6.904700e+00
9.700000e-07	-1.729267e-03	-6.881490e+00
9.800000e-07	-1.003280e-02	-6.801989e+00
9.900000e-07	-7.991247e-03	-6.788955e+00
1.000000e-06	-1.856709e-03	-6.724801e+00
1.010000e-06	6.930443e-04	-6.712642e+00
1.020000e-06	-5.008426e-03	-6.630064e+00
1.030000e-06	-9.569409e-03	-6.558381e+00
