# 260612_11:06:19.628624
t	CH1	CH2
0.000000e+00	-2.975992e-03	-8.689091e-02
1.000000e-08	-1.274192e-03	-2.010514e-01
2.000000e-08	-1.098681e-03	-2.657081e-01
3.000000e-08	-1.373102e-03	-3.199134e-01
4.000000e-08	-2.882977e-03	-4.010251e-01
5.000000e-08	-3.638094e-03	-4.331329e-01
6.000000e-08	2.510329e-03	-5.384459e-01
7.000000e-08	2.952058e-02	-6.332593e-01
8.000000e-08	2.242203e-02	-7.801201e-01
9.000000e-08	-6.948821e-02	-8.968358e-01
1.000000e-07	-5.222417e-02	-9.779461e-01
1.100000e-07	6.643398e-02	-9.379436e-01
1.200000e-07	1.804288e-02	-1.001124e+00
1.300000e-07	3.312194e-03	-1.149045e+00
1.400000e-07	-7.087894e-02	-1.253653e+00
1.500000e-07	9.040123e-02	-1.244078e+00
1.600000e-07	-5.170963e-02	-1.310995e+00
1.700000e-07	-9.076495e-03	-1.559470e+00
1.800000e-07	1.596085e-02	-1.611048e+00
1.900000e-07	3.395621e-02	-1.633105e+00
2.000000e-07	-1.113296e-01	-1.708366e+00
2.100000e-07	3.071623e-02	-1.882154e+00
2.200000e-07	1.089729e-01	-1.863132e+00
2.300000e-07	-6.878941e-02	-1.926896e+00
2.400000e-07	-8.353142e-02	-2.019575e+00
2.500000e-07	9.209335e-02	-2.043683e+00
2.600000e-07	2.308712e-02	-2.146339e+00
2.700000e-07	-7.532102e-02	-2.333710e+00
2.800000e-07	1.762953e-02	-2.358494e+00
2.900000e-07	8.803375e-03	-2.400501e+00
3.000000e-07	-9.371158e-03	-2.452183e+00
3.100000e-07	2.491182e-02	-2.527365e+00
3.200000e-07	-2.959643e-04	-2.599102e+00
3.300000e-07	-5.264963e-02	-2.695209e+00
3.400000e-07	2.535450e-02	-2.706443e+00
3.500000e-07	1.420534e-02	-2.787493e+00
3.600000e-07	-8.276724e-03	-2.821578e+00
3.700000e-07	6.883002e-03	-2.871259e+00
3.800000e-07	-3.386616e-02	-2.928921e+00
3.900000e-07	6.304551e-03	-3.094786e+00
4.000000e-07	4.350363e-02	-3.158442e+00
4.100000e-07	-2.622166e-02	-3.180024e+00
4.200000e-07	-3.968009e-02	-3.211602e+00
4.300000e-07	2.957171e-02	-3.295216e+00
4.400000e-07	8.812272e-03	-3.347369e+00
4.500000e-07	-7.539940e-03	-3.390047e+00
4.600000e-07	5.407266e-03	-3.412554e+00
4.700000e-07	-2.795463e-02	-3.475267e+00
4.800000e-07	9.677603e-03	-3.548396e+00
4.900000e-07	1.853586e-02	-3.579999e+00
5.000000e-07	-7.420350e-03	-3.620026e+00
5.100000e-07	-1.757255e-02	-3.610603e+00
5.200000e-07	-4.493586e-04	-3.656182e+00
5.300000e-07	8.611483e-03	-3.776916e+00
5.400000e-07	1.155898e-02	-3.853130e+00
5.500000e-07	-1.103709e-02	-3.895841e+00
5.600000e-07	-1.986844e-02	-3.967394e+00
5.700000e-07	9.162636e-03	-3.959997e+00
5.800000e-07	9.389223e-03	-4.020475e+00
5.900000e-07	2.019783e-03	-4.000053e+00
6.000000e-07	-1.595908e-02	-4.062129e+00
6.100000e-07	-5.295345e-03	-4.074660e+00
6.200000e-07	9.634584e-03	-4.166416e+00
6.300000e-07	7.817461e-03	-4.106892e+00
6.400000e-07	-6.071206e-03	-4.149523e+00
6.500000e-07	-1.413852e-02	-4.200050e+00
6.600000e-07	9.464943e-04	-4.199998e+00
6.700000e-07	9.441072e-03	-4.241104e+00
6.800000e-07	2.445779e-03	-4.243661e+00
6.900000e-07	-1.349642e-02	-4.302686e+00
7.000000e-07	-5.114670e-03	-4.293841e+00
7.100000e-07	4.110976e-03	-4.347865e+00
7.200000e-07	7.866732e-03	-4.339470e+00
7.300000e-07	-2.171783e-03	-4.358399e+00
7.400000e-07	-1.209058e-02	-4.386968e+00
7.500000e-07	-2.604620e-03	-4.368950e+00
7.600000e-07	4.980402e-03	-4.378497e+00
7.700000e-07	3.846401e-03	-4.389974e+00
7.800000e-07	-7.751267e-03	-4.399024e+00
7.900000e-07	-7.042890e-03	-4.400000e+00
8.000000e-07	1.886101e-03	-4.400000e+00
8.100000e-07	7.466229e-03	-4.399999e+00
8.200000e-07	-6.030330e-04	-4.401500e+00
8.300000e-07	-9.128098e-03	-4.399474e+00
8.400000e-07	-4.246829e-03	-4.390025e+00
8.500000e-07	2.487078e-03	-4.390025e+00
8.600000e-07	3.679223e-03	-4.390000e+00
8.700000e-07	-5.775500e-03	-4.388948e+00
8.800000e-07	-6.846681e-03	-4.378975e+00
8.900000e-07	-7.261781e-04	-4.378975e+00
9.000000e-07	5.358884e-03	-4.377498e+00
